name,type,population,region
Aparan,District,22029,Aragatsotn
Aragats,District,13250,Aragatsotn
Ashtarak,District,64287,Aragatsotn
Talin,District,33359,Aragatsotn
Ararat,District,88912,Ararat
Artashat,District,93013,Ararat
Masis,District,78442,Ararat
Armavir,District,112092,Armavir
Baghramyan,District,20291,Armavir
Echmiadzin,District,133387,Armavir
Gavarr,District,52687,Gegharkunik
Karmir,District,13788,Gegharkunik
Martuni,District,90224,Gegharkunik
Sevan,District,39776,Gegharkunik
Vardenis,District,38600,Gegharkunik
Hrazdan,District,85339,Kotayk
Kotayk,District,111089,Kotayk
Nairi,District,57969,Kotayk
Gugark,District,22675,Lori
Spitak,District,36230,Lori
Stepanavan,District,28242,Lori
Tashir,District,22185,Lori
Tumanyan,District,40006,Lori
Vanadzor,District,86199,Lori
Akhuryan,District,41546,Shirak
Amasiay,District,6306,Shirak
Ani,District,18958,Shirak
Artik,District,54065,Shirak
Ashotsk,District,9090,Shirak
Gyumri,District,121976,Shirak
Goris,District,41573,Syunik
Kapan,District,58556,Syunik
Meghri,District,11377,Syunik
Sisian,District,30265,Syunik
Dilijan,District,23960,Tavush
Ijevan,District,47874,Tavush
Noyemberyan,District,29346,Tavush
Taush,District,27429,Tavush
Eghegnadzor,District,33995,Vayots Dzor
Vayk,District,18329,Vayots Dzor
