name,type,district,population
Agarak,Village,Stepanavan,1155
Ahnidzor,Village,Tumanyan,218
Akhtala,Village,Tumanyan,19
Akner,Village,Tumanyan,512
Akori,Village,Tumanyan,2065
Amoj,Village,Tumanyan,157
Amrakits,Village,Stepanavan,522
Antaramut,Village,Gugark,306
Antarashen,Village,Gugark,259
Apaven,Village,Tashir,85
Ardvi,Village,Tumanyan,177
Arevashogh,Village,Spitak,2515
Arevatsag,Village,Tumanyan,821
Arjut,Village,Gugark,990
Arjut kayaranin kits,Village,Gugark,53
Armanis,Village,Stepanavan,357
Aroghcharanin kits,Village,Tumanyan,14
Artsni,Village,Tashir,239
Atan,Village,Tumanyan,281
Aygehat,Village,Tumanyan,263
Aznvadzor,Village,Gugark,380
Bazum,Village,Gugark,1116
Bendik,Village,Tumanyan,101
Blagodarnoye,Village,Tashir,227
Bovadzor,Village,Stepanavan,231
Chkalov,Village,Tumanyan,144
Chochkan,Village,Tumanyan,1559
Darpas,Village,Gugark,1664
Dashtadem,Village,Tashir,127
Debet,Village,Gugark,821
Dsegh,Village,Tumanyan,2137
Dzoraget,Village,Gugark,259
Dzoragyugh,Village,Gugark,334
Dzoramut,Village,Tashir,281
Dzyunashogh,Village,Tashir,177
Fioletovo,Village,Gugark,1325
Gargar,Village,Stepanavan,1478
Geghasar,Village,Spitak,916
Getavan,Village,Tashir,80
Ghursali,Village,Spitak,464
Gogaran,Village,Spitak,1065
Gogavan,Village,Tashir,51
Gugark,Village,Gugark,4278
Gyulagarak,Village,Stepanavan,1870
Haghpat,Village,Tumanyan,668
Hagvi,Village,Tumanyan,402
Halavar,Village,Gugark,111
Hartagyugh,Village,Spitak,1035
Haydarli,Village,Gugark,33
Hobardzi,Village,Stepanavan,736
Hovnanadzor,Village,Stepanavan,83
Jiliza,Village,Tumanyan,136
Jrashen,Village,Spitak,3096
Kachachkut,Village,Tumanyan,393
Karaberd,Village,Gugark,107
Karadzor,Village,Spitak,331
Karinj,Village,Tumanyan,643
Karkop,Village,Tumanyan,323
Karmir Aghek,Village,Tumanyan,174
Katnaghbyur,Village,Stepanavan,767
Katnajur,Village,Spitak,1536
Katnarat,Village,Tashir,880
Khnkoyan,Village,Spitak,259
Kilisa,Village,Gugark,9
Kober kayaran,Village,Tumanyan,45
Koghes,Village,Stepanavan,381
Kruglaya Shishka,Village,Tashir,90
Kurtan,Village,Stepanavan,2117
Lejan,Village,Stepanavan,837
Lermontovo,Village,Gugark,912
Lernahovit,Village,Tashir,1302
Lernantsk,Village,Spitak,1221
Lernapat,Village,Gugark,1661
Lernavan,Village,Spitak,1363
Lori Berd,Village,Stepanavan,405
Lorut,Village,Tumanyan,843
Lusaghbyur,Village,Spitak,917
Margahovit,Village,Gugark,3466
Marts,Village,Tumanyan,496
Medovka,Village,Tashir,350
Meghvahovit,Village,Tashir,105
Metsavan,Village,Tashir,4578
Mets Ayrum,Village,Tumanyan,581
Mets Parni,Village,Spitak,1839
Mghart,Village,Tumanyan,429
Mikhayelovka,Village,Tashir,713
Neghots,Village,Tumanyan,292
Noramut,Village,Tashir,62
Norashen,Village,Tashir,1201
Nor Khachakap,Village,Spitak,631
Novoseltsovo,Village,Tashir,152
Odzun,Village,Tumanyan,4048
Paghaghbyur,Village,Tashir,113
Pambak,Village,Gugark,341
Pambak kayaranin kits,Village,Gugark,53
Petrovka,Village,Tashir,243
Pokr Ayrum,Village,Tumanyan,160
Privolnoye,Village,Tashir,805
Pushkino,Village,Stepanavan,339
Sarahart,Village,Spitak,1211
Saralanj,Village,Spitak,188
Saramej,Village,Spitak,1344
Saratovka,Village,Tashir,424
Sarchapet,Village,Tashir,2127
Shahumyan,Village,Gugark,1934
Shamut,Village,Tumanyan,257
Shenavan,Village,Spitak,402
Shirakamut,Village,Spitak,1821
Shnogh,Village,Tumanyan,2561
Sverdlov,Village,Stepanavan,1033
Teghut,Village,Tumanyan,684
Tsaghkaber,Village,Spitak,1195
Tsaghkashat,Village,Tumanyan,181
Tsater,Village,Tumanyan,377
Urasar,Village,Stepanavan,347
Urut,Village,Stepanavan,1020
Vahagnadzor,Village,Gugark,300
Vahagni,Village,Gugark,1070
Vardablur,Village,Stepanavan,1245
Yaghdan,Village,Stepanavan,233
Yeghegnut,Village,Gugark,893
Aghin,Village,Ani,382
Aghin kayaran,Village,Ani,72
Aghvorik,Village,Amasiay,89
Akhurik,Village,Akhuryan,1243
Akhuryan,Village,Akhuryan,7113
Alvar,Village,Amasiay,140
Amasia,Village,Amasiay,1532
Aniavan (Ani kayaran),Village,Ani,331
Anipemza,Village,Ani,260
Anushavan,Village,Artik,2070
Arapi,Village,Akhuryan,1795
Ardenis,Village,Amasiay,135
Aregnadem,Village,Amasiay,388
Arevik,Village,Akhuryan,1566
Arevshat,Village,Artik,1809
Arpeni,Village,Ashotsk,276
Ashotsk,Village,Ashotsk,2132
Aygabats,Village,Akhuryan,701
Azatan,Village,Akhuryan,4838
Bandivan,Village,Amasiay,259
Bardzrashen,Village,Ani,40
Basen (Musayelyan),Village,Akhuryan,1393
